Dataset,Base Model,Predict Func,Average Precision,Coverage Score,Fmeasure Score,Hamming Accuracy,Informedness,Macro F1,Markedness,Micro F1,Negative Predictive Value,One-Error Score,Precision Score,Ranking Loss Score,Recall Score,Subset Accuracy
chest_xray_nih__resnet,BR_AdaBoostClassifier,Marginal Scores,83.05 ± 0.08,84.37 ± 0.05,,,,,,,,30.70 ± 0.14,,89.97 ± 0.05,,
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Fmeasure,,,17.13 ± 0.00,10.60 ± 0.02,50.04 ± 0.01,18.33 ± 0.00,5.62 ± 0.09,19.03 ± 0.00,0.71 ± 0.19,,10.52 ± 0.00,,54.63 ± 0.00,0.00 ± 0.00
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Hamming,,,47.26 ± 0.11,89.35 ± 0.01,54.59 ± 0.06,16.61 ± 0.21,69.86 ± 0.05,20.21 ± 0.12,90.58 ± 0.01,,49.15 ± 0.11,,46.59 ± 0.11,43.63 ± 0.12
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Informedness,,,24.75 ± 0.08,52.57 ± 0.32,61.37 ± 0.20,23.74 ± 0.17,57.67 ± 0.04,28.29 ± 0.14,97.61 ± 0.02,,17.72 ± 0.07,,49.20 ± 0.08,0.57 ± 0.02
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Markedness,,,22.97 ± 0.07,41.07 ± 0.24,57.64 ± 0.09,20.96 ± 0.06,58.03 ± 0.04,24.01 ± 0.06,97.99 ± 0.03,,18.07 ± 0.08,,48.94 ± 0.08,3.73 ± 0.05
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict NPV,,,18.83 ± 0.01,22.73 ± 0.01,54.46 ± 0.14,19.37 ± 0.02,55.38 ± 0.03,21.16 ± 0.01,98.90 ± 0.04,,11.85 ± 0.01,,54.00 ± 0.04,0.00 ± 0.00
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Precision,,,24.49 ± 0.13,84.67 ± 0.03,58.59 ± 0.13,25.99 ± 0.22,61.54 ± 0.08,33.36 ± 0.15,92.38 ± 0.02,,30.70 ± 0.14,,21.86 ± 0.12,14.78 ± 0.10
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Recall,,,17.11 ± 0.00,10.51 ± 0.00,50.00 ± 0.00,18.32 ± 0.00,5.25 ± 0.00,19.02 ± 0.00,0.00 ± 0.00,,10.51 ± 0.00,,54.63 ± 0.00,0.00 ± 0.00
chest_xray_nih__resnet,BR_AdaBoostClassifier,Predict Subset,,,47.26 ± 0.11,89.35 ± 0.01,54.59 ± 0.06,16.61 ± 0.21,69.86 ± 0.05,20.21 ± 0.12,90.58 ± 0.01,,49.15 ± 0.11,,46.59 ± 0.11,43.63 ± 0.12
chest_xray_nih__resnet,BR_LogisticRegression,Marginal Scores,84.83 ± 0.04,85.74 ± 0.02,,,,,,,,33.21 ± 0.06,,91.26 ± 0.01,,
