Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.885746,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.398343,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Precision Score,0.494105,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.914193,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Recall Score,0.459835,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Markedness,0.704148,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.466372,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Informedness,0.560462,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Macro F1,0.200169,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Hamming,Micro F1,0.297119,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.894581,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.448001,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Precision Score,0.474793,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.900559,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Recall Score,0.464145,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Markedness,0.687678,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.466557,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Informedness,0.530506,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Macro F1,0.109018,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Subset,Micro F1,0.116406,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.844151,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.138067,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Precision Score,0.296999,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.922314,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Recall Score,0.208685,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Markedness,0.609656,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.234985,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Informedness,0.570996,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Macro F1,0.235407,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Precision,Micro F1,0.322639,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.227511,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Precision Score,0.118634,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.989645,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Recall Score,0.540443,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Markedness,0.554141,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.188436,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Informedness,0.545931,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Macro F1,0.194537,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict NPV,Micro F1,0.211816,1,adaboost
chest_xray_nih__resnet,PCC_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.105099,1,adaboost
